"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"CIPLA","01-Jan-2020","26-Mar-2020","0","0","0","489","489","482.35","0","0","2300","0","        475.90"
"CIPLA","02-Jan-2020","26-Mar-2020","0","0","0","489","489","479.85","0","0","2300","0","        473.50"
"CIPLA","03-Jan-2020","26-Mar-2020","476.4","476.4","474.75","474.75","474.75","476.15","3","16.42","5750","3450","        469.95"
"CIPLA","06-Jan-2020","26-Mar-2020","470.15","470.15","470.15","470.15","470.15","472.65","1","5.41","6900","1150","        466.75"
"CIPLA","07-Jan-2020","26-Mar-2020","475.95","475.95","473.2","473.2","473.2","474.45","2","10.92","5750","-1150","        468.60"
"CIPLA","08-Jan-2020","26-Mar-2020","474.45","474.45","474.45","474.45","474.45","470.5","1","5.46","4600","-1150","        464.75"
"CIPLA","09-Jan-2020","26-Mar-2020","475","475","475","475","475","475.85","1","5.46","3450","-1150","        470.10"
"CIPLA","10-Jan-2020","26-Mar-2020","0","0","0","475","475","479.2","0","0","3450","0","        473.50"
"CIPLA","13-Jan-2020","26-Mar-2020","483.9","483.9","483.9","483.9","483.9","483.2","1","5.56","3450","0","        477.65"
"CIPLA","14-Jan-2020","26-Mar-2020","484.45","484.45","484.45","484.45","484.45","489.8","1","5.57","4600","1150","        484.25"
"CIPLA","15-Jan-2020","26-Mar-2020","0","0","0","484.45","484.45","489.45","0","0","4600","0","        484.00"
"CIPLA","16-Jan-2020","26-Mar-2020","0","0","0","484.45","484.45","485.6","0","0","4600","0","        480.25"
"CIPLA","17-Jan-2020","26-Mar-2020","0","0","0","484.45","484.45","485.6","0","0","4600","0","        480.30"
"CIPLA","20-Jan-2020","26-Mar-2020","0","0","0","484.45","484.45","485.2","0","0","4600","0","        480.15"
"CIPLA","21-Jan-2020","26-Mar-2020","0","0","0","484.45","484.45","478.3","0","0","4600","0","        473.40"
"CIPLA","22-Jan-2020","26-Mar-2020","484.55","484.55","480.35","480.35","480.35","476.4","4","22.2","5750","1150","        471.60"
"CIPLA","23-Jan-2020","26-Mar-2020","465.1","480.75","464.9","471.25","471.25","471.25","8","43.41","10350","4600","        465.15"
"CIPLA","24-Jan-2020","26-Mar-2020","471.25","471.25","465","461.5","465","461.5","10","53.6","17250","6900","        458.85"
"CIPLA","27-Jan-2020","26-Mar-2020","470","470.45","467","467","467","468.8","4","21.57","16100","-1150","        464.45"
"CIPLA","28-Jan-2020","26-Mar-2020","470.1","472.5","466","469.9","469.9","469.9","14","75.57","17250","1150","        464.70"
"CIPLA","29-Jan-2020","26-Mar-2020","471","471","468","469.1","469.1","465.75","9","48.54","17250","0","        461.55"
"CIPLA","30-Jan-2020","26-Mar-2020","463.55","463.55","451.1","451.1","451.1","455.05","9","47.14","24150","6900","        451.00"
"CIPLA","31-Jan-2020","26-Mar-2020","451.8","454.3","449.65","451.25","451.5","451.25","11","57.18","31050","6900","        446.90"
"CIPLA","01-Feb-2020","26-Mar-2020","450.7","453.65","441.35","443.35","444.25","443.35","166","854.04","172500","141450","        444.20"
"CIPLA","03-Feb-2020","26-Mar-2020","447.6","450.9","440.7","444.55","444.75","444.55","82","419.8","248400","75900","        444.55"
"CIPLA","04-Feb-2020","26-Mar-2020","446.05","451.8","445.65","448.2","448.2","448.2","37","190.73","278300","29900","        448.45"
"CIPLA","05-Feb-2020","26-Mar-2020","444","458.4","438.95","448.3","458.4","448.3","86","442.7","295550","17250","        447.55"
"CIPLA","06-Feb-2020","26-Mar-2020","458.3","459.5","438.1","440.7","440.5","440.7","73","374.96","313950","18400","        439.65"
"CIPLA","07-Feb-2020","26-Mar-2020","443.45","448.7","442.85","446.1","445.65","446.1","85","435.53","323150","9200","        443.20"
"CIPLA","10-Feb-2020","26-Mar-2020","450.15","451.25","443.4","447.2","447.3","447.2","214","1099.98","456550","133400","        444.75"
"CIPLA","11-Feb-2020","26-Mar-2020","447.9","452.9","446","452.6","452.5","452.6","53","273.94","474950","18400","        450.60"
"CIPLA","12-Feb-2020","26-Mar-2020","452.6","453.5","447.9","448.95","448.9","448.95","66","341.44","518650","43700","        446.80"
"CIPLA","13-Feb-2020","26-Mar-2020","445.75","450","443.1","445.25","445","445.25","83","425.42","564650","46000","        443.40"
"CIPLA","14-Feb-2020","26-Mar-2020","447","448.9","443.9","448","446.4","448","92","473.27","586500","21850","        447.10"
"CIPLA","17-Feb-2020","26-Mar-2020","445.45","445.45","431.95","433.65","434.85","433.65","324","1624.42","609500","23000","        431.90"
"CIPLA","18-Feb-2020","26-Mar-2020","432","437.5","430.2","436.5","437.1","436.5","171","853.27","623300","13800","        436.00"
"CIPLA","19-Feb-2020","26-Mar-2020","441.9","448","438.55","447.35","446.1","447.35","389","1984.04","763600","140300","        447.50"
"CIPLA","20-Feb-2020","26-Mar-2020","447.05","448.9","437","437.6","437.55","437.6","750","3809.96","1205200","441600","        435.75"
"CIPLA","24-Feb-2020","26-Mar-2020","436.35","436.35","426.75","428.65","427.5","428.65","3126","15460.91","4135400","2930200","        430.15"
"CIPLA","25-Feb-2020","26-Mar-2020","425.75","429.65","420.45","425.15","425.75","425.15","4099","19983.92","7349650","3214250","        425.80"
"CIPLA","26-Feb-2020","26-Mar-2020","407.5","422.55","407.5","420.35","421","420.35","5326","25638.76","9232200","1882550","        422.20"
"CIPLA","27-Feb-2020","26-Mar-2020","416.45","419.15","408.6","418.3","418.55","418.3","7883","37462.58","13358400","4126200","        421.20"
"CIPLA","28-Feb-2020","26-Mar-2020","410","414.35","396.75","400.15","403.3","400.15","3125","14613.66","13414750","56350","        402.10"
"CIPLA","02-Mar-2020","26-Mar-2020","404.9","409.1","392.4","398.75","401.5","398.75","3154","14637.3","13052500","-362250","        401.95"
"CIPLA","03-Mar-2020","26-Mar-2020","400.1","425.3","400.1","422.55","421.6","422.55","5196","24902.14","12814450","-238050","        425.30"
"CIPLA","04-Mar-2020","26-Mar-2020","422.25","446","416.75","444.4","444","444.4","9034","45263.16","11472400","-1342050","        447.65"
"CIPLA","05-Mar-2020","26-Mar-2020","443.4","471.95","437","439.6","439","439.6","9786","50341.96","11828900","356500","        440.60"
"CIPLA","06-Mar-2020","26-Mar-2020","423.35","437","423.3","433.55","430.4","433.55","3801","18887.54","11923200","94300","        434.40"
"CIPLA","09-Mar-2020","26-Mar-2020","425.1","430.9","422.6","425.2","424","425.2","3310","16221.05","11693200","-230000","        426.15"
"CIPLA","11-Mar-2020","26-Mar-2020","422.05","423.05","409.5","416","417.15","416","4165","19884.04","11301050","-392150","        417.10"
"CIPLA","12-Mar-2020","26-Mar-2020","408.05","408.05","386","390.15","390.3","390.15","7528","34079.35","9779600","-1521450","        394.75"
"CIPLA","13-Mar-2020","26-Mar-2020","375.15","431.5","352","420.6","421.95","420.6","4463","20946.43","10118850","339250","        425.55"
"CIPLA","16-Mar-2020","26-Mar-2020","407.2","417.65","388.85","392.55","393.65","392.55","5985","27728.69","10240750","121900","        396.40"
"CIPLA","17-Mar-2020","26-Mar-2020","395.35","416.35","385.9","397.95","398.1","397.95","3465","16137.07","9917600","-323150","        401.75"
